@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
10328,'2024/02/26 17:13:23:511',8,0.294076,0.26323,0.423671,0.415602,0.311616,0.299628,0.269847,0.282636,0.25848,0.249458,0.261293,0.216963,0.215299,0.226499,0.228438,0.201148,0.219063,0.188393,0.183798,0.156912,0.139069,0.093292,0.093082,0.088168,0.096295,0.105917,0.148217,0,0,0,0,0,0,1
10329,'2024/02/26 17:13:23:523',8,0.272873,0.234285,0.486264,0.383603,0.31454,0.259342,0.243544,0.274479,0.249037,0.245869,0.25144,0.17787,0.207987,0.225119,0.220041,0.174265,0.218567,0.179911,0.18774,0.147727,0.151527,0.103624,0.089518,0.086863,0.101499,0.105256,0.147512,0,0,0,0,0,0,1
10330,'2024/02/26 17:13:23:534',8,0.30024,0.27916,0.469135,0.37031,0.305634,0.260389,0.234119,0.264331,0.243663,0.238972,0.23332,0.204344,0.220575,0.205282,0.196943,0.195545,0.21518,0.170069,0.191151,0.154903,0.147252,0.115663,0.096391,0.084625,0.118181,0.107403,0.153635,0,0,0,0,0,0,1
10331,'2024/02/26 17:13:23:546',8,0.335309,0.225192,0.487049,0.345323,0.289976,0.282584,0.275188,0.25517,0.27872,0.255384,0.220031,0.196402,0.216843,0.217045,0.197167,0.191491,0.190547,0.184043,0.179169,0.163397,0.122479,0.114254,0.08488,0.083209,0.102687,0.096557,0.139918,0,0,0,0,0,0,1
10332,'2024/02/26 17:13:23:557',8,0.309982,0.180779,0.522594,0.417541,0.349628,0.276458,0.277658,0.279226,0.300091,0.256982,0.228644,0.215533,0.225962,0.245844,0.222405,0.208975,0.208086,0.200092,0.182224,0.160418,0.12749,0.131521,0.100053,0.093813,0.1073,0.104847,0.153952,0,0,0,0,0,0,1
10333,'2024/02/26 17:13:23:569',8,0.32941,0.23393,0.511177,0.426613,0.312029,0.302209,0.292312,0.295733,0.283046,0.190315,0.220885,0.191547,0.234156,0.229264,0.220175,0.208955,0.201532,0.196178,0.171852,0.160492,0.153261,0.134466,0.105089,0.091934,0.115442,0.126873,0.16369,0,0,0,0,0,0,1
10334,'2024/02/26 17:13:23:580',8,0.30076,0.196382,0.528191,0.388392,0.256009,0.300636,0.257988,0.293506,0.272801,0.215929,0.235079,0.237975,0.23296,0.233696,0.234782,0.22326,0.190859,0.207003,0.181964,0.162167,0.156883,0.117665,0.082287,0.096391,0.111954,0.115119,0.149827,0,0,0,0,0,0,1
10335,'2024/02/26 17:13:23:592',8,0.295011,0.213185,0.497934,0.397081,0.319662,0.315894,0.261192,0.284096,0.229983,0.26192,0.251197,0.220388,0.253922,0.227248,0.233913,0.234562,0.209523,0.191771,0.18531,0.179394,0.156212,0.11441,0.086346,0.098799,0.108905,0.108762,0.144679,0,0,0,0,0,0,1
10336,'2024/02/26 17:13:23:603',8,0.252974,0.267382,0.480597,0.387049,0.331757,0.278188,0.258952,0.273644,0.282188,0.270208,0.216328,0.212073,0.223834,0.219126,0.243458,0.224318,0.186842,0.195293,0.1852,0.164188,0.158273,0.111199,0.094763,0.105755,0.108689,0.124741,0.167828,0,0,0,0,0,0,1
10337,'2024/02/26 17:13:23:615',8,0.293239,0.291085,0.414851,0.404611,0.303646,0.233475,0.235651,0.248323,0.26116,0.261016,0.228127,0.215974,0.183356,0.20921,0.216701,0.227185,0.198803,0.192641,0.152549,0.160066,0.149625,0.108785,0.088869,0.092097,0.114004,0.117143,0.150167,0,0,0,0,0,0,1
10338,'2024/02/26 17:13:23:627',8,0.265714,0.206943,0.470671,0.445744,0.311312,0.25904,0.252536,0.228354,0.242283,0.221624,0.257977,0.249431,0.207671,0.221438,0.192622,0.210174,0.174559,0.190646,0.154298,0.149035,0.129753,0.118426,0.064342,0.076514,0.111528,0.096953,0.135289,0,0,0,0,0,0,1
